,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,PoolQC,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,SalePrice
17,18,90,RL,72.0,10791.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,None,None,None,None,0.0,None,0.0,42,GasA,TA,Y,SBrkr,6.0,0.0,6.0,0,0,2,0,2,2,TA,6,Typ,0,None,CarPort,1967.0,Unf,2,231.57097029480246,TA,TA,Y,0.0,0.0,None,None,Shed,10,2006,WD,Normal,30.53489593254259
18,19,20,RL,66.0,13695.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,6.472346294500901,Unf,21.633307652783937,1114,GasA,Ex,Y,SBrkr,5.777251815228178,0.0,5.777251815228178,1,0,1,1,3,1,Gd,6,Typ,0,None,Detchd,2004.0,Unf,2,254.2103871974599,TA,TA,Y,0.0,4.950269259163949,None,None,None,6,2008,WD,Normal,33.87599694488367
19,20,20,RL,70.0,7560.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,6.22455842927536,Unf,22.9128784747792,1029,GasA,TA,Y,SBrkr,6.0491610101785165,0.0,6.0491610101785165,0,0,1,0,3,1,TA,6,Min1,0,None,Attchd,1958.0,Unf,1,143.6617325457337,TA,TA,Y,0.0,0.0,None,MnPrv,None,5,2009,COD,Abnorml,33.06061268130287
20,21,60,RL,101.0,14215.0,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.942799375126701,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,34.02939905434711,1158,GasA,Ex,Y,SBrkr,5.833472298241169,5.9076100694976725,6.981706842013331,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,354.5826805880489,TA,TA,Y,4.472865768735521,5.418535291213337,None,None,None,11,2006,New,Partial,38.508708983681906
21,22,45,RM,57.0,7449.0,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,25.238858928247925,637,GasA,Ex,Y,FuseF,5.7694569895429915,0.0,5.7694569895429915,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,137.82882922183393,TA,TA,N,0.0,0.0,None,GdPrv,None,6,2007,WD,Normal,33.0778692623731
22,23,20,RL,75.0,9742.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,5.641907070938114,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,41.054841371024686,1777,GasA,Ex,Y,SBrkr,6.509027602386529,0.0,6.509027602386529,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,238.40347617167518,TA,TA,Y,4.248958096765297,5.455137290299524,None,None,None,9,2008,WD,Normal,36.20247692598453
23,24,120,RM,44.0,4224.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,6.734591659972948,Unf,14.142135623730951,1040,GasA,TA,Y,SBrkr,5.705930352904723,0.0,5.705930352904723,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,252.71283086715363,TA,TA,Y,3.883497032423913,5.035571389111327,None,None,None,6,2007,WD,Normal,32.656165222161036
24,25,20,RL,70.04995836802665,8246.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,5.241747015059643,ALQ,14.2828568570857,1060,GasA,Ex,Y,SBrkr,5.705930352904723,0.0,5.705930352904723,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,133.6349965383168,TA,TA,Y,4.809373314701282,4.809404383911146,None,MnPrv,None,5,2010,WD,Normal,33.680689360129215
25,26,20,RL,107.5,14230.0,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,6.020112740696528,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,39.57271787481876,1566,GasA,Ex,Y,SBrkr,6.324555320336759,0.0,6.324555320336759,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,367.57033561613224,TA,TA,Y,0.0,4.28181421132151,None,None,None,7,2009,WD,Normal,36.90979275520986
26,27,20,RL,60.0,7200.0,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,5.459585514144159,Rec,13.416407864998739,900,GasA,TA,Y,SBrkr,5.477225575051661,0.0,5.477225575051661,0,1,1,0,3,1,Gd,5,Typ,0,None,Detchd,2005.0,Unf,2,254.2103871974599,TA,TA,Y,4.421851232847459,3.6741526438185916,None,None,None,5,2010,WD,Normal,32.87682724909944
27,28,20,RL,98.0,11478.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,5.303304908059076,Gd,TA,PConc,Ex,TA,No,GLQ,7.105786129481271,Unf,22.045407685048602,1704,GasA,Ex,Y,SBrkr,6.4249151652843315,0.0,6.4249151652843315,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,325.83904517588917,TA,TA,Y,0.0,4.157392693711713,None,None,None,5,2010,WD,Normal,38.09297918373461
28,29,20,RL,47.0,16321.0,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,7.15305163493748,Unf,14.38749456993816,1484,GasA,TA,Y,SBrkr,6.324555320336759,0.0,6.324555320336759,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,153.97298380678322,TA,TA,Y,4.591045206533231,5.5318970075047895,None,None,None,12,2006,WD,Normal,35.54059125704838
29,30,30,RM,60.0,6324.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,22.80350850198276,520,GasA,Fa,N,SBrkr,4.7753019278348,0.0,4.7753019278348,0,0,1,0,1,1,Fa,4,Typ,0,None,Detchd,1920.0,Unf,1,120.90513870156188,Fa,TA,Y,3.377274109457749,0.0,None,None,None,5,2008,WD,Normal,29.03158754483307
30,31,70,C (all),50.0,8500.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,25.475478405713993,649,GasA,TA,N,SBrkr,5.047323885556978,5.083866242009144,6.024159246172706,0,0,1,0,3,1,TA,6,Typ,0,None,Detchd,1920.0,Unf,1,125.17426260499718,TA,Fa,N,0.0,4.241816090481857,None,MnPrv,None,7,2008,WD,Normal,26.24480692999772
31,32,20,RL,70.04995836802665,8544.0,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,35.04283093587046,1228,GasA,Gd,Y,SBrkr,5.91969855109789,0.0,5.91969855109789,0,0,1,1,3,1,Gd,6,Typ,0,None,Attchd,1966.0,Unf,1,134.05544301168914,TA,TA,Y,0.0,4.446406378003795,None,MnPrv,None,6,2008,WD,Normal,33.4941624519801
32,33,20,RL,85.0,11049.0,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,35.12833614050059,1234,GasA,Ex,Y,SBrkr,5.9269162420689385,0.0,5.9269162420689385,0,0,2,0,3,1,Gd,7,Typ,0,None,Attchd,2007.0,RFn,2,219.33223283914836,TA,TA,Y,0.0,3.605234197617762,None,None,None,1,2008,WD,Normal,34.63982908261338
33,34,20,RL,70.0,10552.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,6.926577033222725,Unf,19.493588689617926,1398,GasA,Gd,Y,SBrkr,6.4211413515181714,0.0,6.4211413515181714,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2,205.02398930860286,TA,TA,Y,0.0,3.8588978304885067,None,None,None,4,2010,WD,Normal,34.1222494302466
34,35,120,RL,60.0,7313.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,5.5093883366279774,Ex,TA,PConc,Ex,TA,No,GLQ,7.050989447068045,Unf,20.199009876724155,1561,GasA,Ex,Y,SBrkr,6.285657684783417,0.0,6.285657684783417,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2,246.7063009984686,TA,TA,Y,4.362950045651906,4.089739190451703,None,None,None,8,2007,WD,Normal,37.43640647378026
35,36,60,RL,107.5,13418.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,4.890349128221754,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,33.421549934136806,1117,GasA,Ex,Y,SBrkr,5.800448920775136,6.02758693418601,7.036879536595734,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3,296.6249973317343,TA,TA,Y,3.9679363393335945,3.6741526438185916,None,None,None,9,2006,WD,Normal,38.15903525369284
36,37,20,RL,107.5,10859.0,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,33.12099032335839,1097,GasA,Ex,Y,SBrkr,5.755083867621599,0.0,5.755083867621599,0,0,1,1,3,1,TA,6,Typ,0,None,Attchd,1995.0,Unf,2,289.6975915072973,TA,TA,Y,4.787316236907252,4.429233875014026,None,None,None,6,2009,WD,Normal,33.315152973384144
37,38,20,RL,74.0,8532.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,6.020112740696528,TA,TA,CBlock,TA,TA,No,Rec,7.101675971619444,Unf,9.16515138991168,1297,GasA,Gd,Y,SBrkr,6.00115707266009,0.0,6.00115707266009,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2,224.70157781851947,TA,TA,Y,0.0,0.0,None,None,None,10,2009,WD,Normal,33.64098347085143
38,39,20,RL,68.0,7922.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,6.595780513961311,Unf,18.05547008526779,1057,GasA,TA,Y,SBrkr,5.701888846164727,0.0,5.701888846164727,1,0,1,0,3,1,Gd,5,Typ,0,None,Detchd,1953.0,Unf,1,123.46982804094912,TA,TA,Y,0.0,4.200378632066702,None,None,None,1,2010,WD,Abnorml,31.627421829699227
39,40,90,RL,65.0,6040.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,None,None,None,None,0.0,None,0.0,42,GasA,TA,N,FuseP,5.825901260487881,0.0,5.825901260487881,0,0,2,0,2,2,Fa,6,Typ,0,None,None,None,None,0,0.0,None,None,N,0.0,0.0,None,None,None,6,2008,WD,AdjLand,30.015242038706827
40,41,20,RL,84.0,8658.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,4.624972813284271,TA,TA,CBlock,TA,TA,No,Rec,6.467698726104354,Unf,21.095023109728988,1088,GasA,Ex,Y,SBrkr,6.032148108039167,0.0,6.032148108039167,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1965.0,RFn,2,202.29685300691082,TA,TA,Y,0.0,5.293177321217896,None,GdWo,None,12,2006,WD,Abnorml,33.914431609758836
41,42,20,RL,107.5,16905.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,6.875232087276577,Unf,19.570385790780925,1350,GasA,Gd,Y,SBrkr,6.036698958584666,0.0,6.036698958584666,0,1,1,1,2,1,TA,5,Typ,2,Gd,Attchd,1959.0,RFn,1,149.45197634953374,TA,TA,P,0.0,4.972183272438776,None,None,None,7,2007,WD,Normal,34.28796688002511
42,43,85,RL,70.04995836802665,9180.0,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,6.617402977974478,LwQ,0.0,840,GasA,Gd,Y,SBrkr,5.4527183582720475,0.0,5.4527183582720475,1,0,1,0,2,1,Gd,5,Typ,0,None,Attchd,1983.0,RFn,2,226.99556652981173,TA,Gd,Y,4.472865768735521,0.0,None,MnPrv,None,12,2007,WD,Normal,33.27335803178764
43,44,20,RL,70.04995836802665,9200.0,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,5.638354669333745,BLQ,12.922847983320086,938,GasA,TA,Y,SBrkr,5.5341472389363755,0.0,5.5341472389363755,1,0,1,0,3,1,TA,5,Typ,0,None,Detchd,1977.0,Unf,1,149.45197634953374,TA,TA,Y,4.138046796816181,0.0,None,MnPrv,None,7,2008,WD,Normal,32.67215900396856
